('Total Revenue', 'Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         789477 function calls (764990 primitive calls) in 1.951 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    81557    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
66074/59651    0.005    0.000    0.006    0.000 {built-in method builtins.len}
55763/55725    0.004    0.000    0.005    0.000 {built-in method builtins.isinstance}
    26289    0.006    0.000    0.008    0.000 _parser.py:168(__getitem__)
    25989    0.014    0.000    0.014    0.000 {method 'match' of 're.Pattern' objects}
    21180    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    20601    0.005    0.000    0.005    0.000 _parser.py:240(__next)
    15369    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
    14957    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
    14871    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
    14794    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
    13570    0.001    0.000    0.001    0.000 {built-in method builtins.min}
    12897    0.003    0.000    0.006    0.000 _parser.py:261(get)
    11331    0.002    0.000    0.002    0.000 _parser.py:164(__len__)
    11135    0.004    0.000    0.006    0.000 _markupbase.py:44(updatepos)
    10626    0.002    0.000    0.004    0.000 _parser.py:256(match)
     8856    0.001    0.000    0.001    0.000 typing.py:2287(cast)
     8384    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     8363    0.006    0.000    0.006    0.000 element.py:376(setup)
     8229    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     7870    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     7633    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     6928    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     6889    0.001    0.000    0.002    0.000 _parser.py:176(append)
     6635    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
6324/6288    0.003    0.000    0.011    0.000 typing.py:373(inner)
     6141    0.001    0.000    0.005    0.000 __init__.py:122(unescape)
     5862    0.006    0.000    0.025    0.000 __init__.py:826(endData)
     5713    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     5675    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     5414    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
5124/5123    0.001    0.000    0.005    0.000 {built-in method builtins.next}
 5116/195    0.011    0.000    0.023    0.000 _compiler.py:37(_compile)
 5072/385    0.005    0.000    0.007    0.000 _parser.py:178(getwidth)
 4578/233    0.018    0.000    0.052    0.000 _parser.py:516(_parse)
     4371    0.000    0.000    0.000    0.000 element.py:2227(__bool__)
     4317    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     3795    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     3547    0.001    0.000    0.001    0.000 _parser.py:293(tell)
3375/3270    0.003    0.000    0.005    0.000 {built-in method __new__ of type object at 0x927000}
     3093    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     3079    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     3045    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     3031    0.001    0.000    0.001    0.000 element.py:2771(descendants)
     3009    0.001    0.000    0.003    0.000 filter.py:721(match)
     2906    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     2900    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     2857    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     2803    0.001    0.000    0.001    0.000 __init__.py:1065(handle_data)
     2802    0.003    0.000    0.024    0.000 _htmlparser.py:204(handle_endtag)
     2801    0.004    0.000    0.004    0.000 __init__.py:809(pushTag)
     2801    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
     2801    0.007    0.000    0.020    0.000 element.py:1626(__init__)
     2801    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     2800    0.003    0.000    0.003    0.000 __init__.py:786(popTag)
     2800    0.008    0.000    0.045    0.000 __init__.py:987(handle_starttag)
     2800    0.007    0.000    0.010    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     2800    0.006    0.000    0.053    0.000 _htmlparser.py:142(handle_starttag)
     2800    0.018    0.000    0.095    0.000 parser.py:300(parse_starttag)
     2800    0.002    0.000    0.007    0.000 parser.py:344(check_for_whole_start_tag)
     2800    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
     2800    0.001    0.000    0.001    0.000 element.py:1820(is_empty_element)
     2799    0.004    0.000    0.008    0.000 __init__.py:950(_popToTag)
     2799    0.002    0.000    0.021    0.000 __init__.py:1053(handle_endtag)
     2781    0.003    0.000    0.008    0.000 __init__.py:867(object_was_parsed)
     2781    0.003    0.000    0.005    0.000 __init__.py:732(string_container)
     2781    0.002    0.000    0.005    0.000 element.py:1291(__new__)
     2778    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     2761    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     2761    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     2672    0.001    0.000    0.002    0.000 _htmlparser.py:222(handle_data)
     2624    0.005    0.000    0.031    0.000 parser.py:378(parse_endtag)
     2624    0.001    0.000    0.001    0.000 parser.py:126(clear_cdata_mode)
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
     2387    0.001    0.000    0.001    0.000 typing.py:1266(_is_dunder)
     2282    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
     2146    0.001    0.000    0.002    0.000 typing.py:1320(__setattr__)
     2045    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     2004    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
     1852    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1852    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1744    0.000    0.000    0.000    0.000 _exceptions.py:7(map_exceptions)
     1711    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
