('Total Revenue', 'Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         724721 function calls (705537 primitive calls) in 1.943 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      315    1.342    0.004    1.342    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.127    0.127    0.127    0.127 {method 'connect' of '_socket.socket' objects}
        1    0.092    0.092    0.092    0.092 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.019    0.019    0.019    0.019 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
 3253/215    0.016    0.000    0.046    0.000 _parser.py:512(_parse)
     2800    0.016    0.000    0.082    0.000 parser.py:301(parse_starttag)
        1    0.015    0.015    0.015    0.015 {built-in method _socket.getaddrinfo}
    25528    0.014    0.000    0.014    0.000 {method 'match' of 're.Pattern' objects}
      206    0.013    0.000    0.013    0.000 {built-in method marshal.loads}
        2    0.012    0.006    0.136    0.068 parser.py:134(goahead)
       39    0.010    0.000    0.010    0.000 {method 'decompress' of 'zlib.Decompress' objects}
 4051/202    0.010    0.000    0.024    0.000 _compiler.py:37(_compile)
    73257    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
     2682    0.006    0.000    0.009    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
60383/60375    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
62318/57495    0.006    0.000    0.006    0.000 {built-in method builtins.len}
      582    0.005    0.000    0.059    0.000 {built-in method builtins.__build_class__}
     5862    0.005    0.000    0.019    0.000 __init__.py:586(endData)
3532/3494    0.005    0.000    0.006    0.000 {built-in method __new__ of type object at 0xa43b40}
     2800    0.005    0.000    0.034    0.000 __init__.py:722(handle_starttag)
      925    0.005    0.000    0.007    0.000 _compiler.py:243(_optimize_charset)
     8363    0.005    0.000    0.005    0.000 element.py:156(setup)
     2801    0.004    0.000    0.016    0.000 element.py:1199(__init__)
     2624    0.004    0.000    0.027    0.000 parser.py:379(parse_endtag)
    23553    0.004    0.000    0.007    0.000 _parser.py:168(__getitem__)
     2800    0.004    0.000    0.040    0.000 _htmlparser.py:105(handle_starttag)
    14567    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
 1225/202    0.004    0.000    0.046    0.000 _parser.py:452(_parse_sub)
    15162    0.004    0.000    0.005    0.000 _parser.py:261(get)
     8375    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     2799    0.003    0.000    0.006    0.000 __init__.py:688(_popToTag)
 4066/390    0.003    0.000    0.005    0.000 _parser.py:178(getwidth)
    20018    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
    11135    0.003    0.000    0.005    0.000 _markupbase.py:44(updatepos)
     2781    0.003    0.000    0.007    0.000 __init__.py:620(object_was_parsed)
     2802    0.003    0.000    0.020    0.000 _htmlparser.py:160(handle_endtag)
    22425    0.003    0.000    0.003    0.000 _parser.py:240(__next)
        9    0.003    0.000    0.003    0.000 {built-in method _imp.create_dynamic}
      9/8    0.003    0.000    0.006    0.001 {built-in method _imp.exec_dynamic}
     2801    0.003    0.000    0.003    0.000 __init__.py:572(pushTag)
        1    0.003    0.003    0.019    0.019 dammit.py:70(_populate_class_variables)
     8236    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
      206    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
